c,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
41.0,2.0,0.01776957,14407.0,11911.0,12257.0,12611.0,12817.0,13387.0,13663.0,13907.0,14183.0,300.0,384.0,32.84992,0.0050413916,0.3983489,-0.917234,0.0,0.0,0.0
51.0,2.0,0.01775258,16046.0,14154.0,14420.0,14574.0,14689.0,14928.0,15245.0,15517.0,15893.001,300.0,768.0,35.16416,0.0053882073,0.39374137,-0.9192213,0.0,0.0,0.0
51.0,2.0,0.01783225,16211.0,14110.0,14388.0,14579.0,14665.0,14897.0,15252.0,15779.0,16032.0,300.0,1024.0,33.71008,0.0053932336,0.39367452,-0.9192499,0.0,0.0,0.0
51.0,2.0,0.017692,16521.0,14298.0,14580.0,14743.0,14861.0,15134.0,15419.0,16138.0,16346.0,300.0,512.0,33.77152,0.0054032863,0.39354083,-0.9193071,0.0,0.0,0.0
51.0,2.0,0.01789213,16412.0,14478.0,14738.0,14846.0,14929.0,15152.0,15513.0,15892.0,16021.0,300.0,128.0,33.746944,0.0054083127,0.39347398,-0.9193358,0.0,0.0,0.0
51.0,2.0,0.01836439,16104.0,14377.0,14641.0,14779.0,14871.0,15198.0,15404.0,15773.0,15893.001,300.0,640.0,34.287617,0.0054183654,0.39334026,-0.919393,0.0,0.0,0.0
51.0,2.0,0.01783598,16633.0,14537.0,14736.0,14869.0,14959.0,15223.0,15491.0,15827.0,15965.0,300.0,896.0,34.164738,0.0054284176,0.39320654,-0.91945016,0.0,0.0,0.0
51.0,2.0,0.017753568,16991.0,14482.0,14800.0,14986.0,15182.0,15909.0,16570.0,16825.0,16948.0,300.0,256.0,34.82829,0.005463602,0.39273843,-0.9196502,0.0,0.0,0.0
51.0,2.0,0.01848056,21504.0,14742.0,15244.0,15601.0,16205.0,19125.0,19833.0,20377.0,20919.0,300.0,384.0,34.709503,0.0055591017,0.39146736,-0.920192,0.0,0.0,0.0
1.0,2.0,0.01776059,239.99902,135.0,146.0,150.99902,155.0,169.0,180.0,199.0,231.0,400.0,512.0,33.77152,0.0057249703,0.38925794,-0.9211288,0.0,0.0,0.0
1.0,2.0,0.01788447,236.99902,149.0,157.0,161.0,164.0,174.0,182.99902,191.0,222.0,400.0,768.0,33.76333,0.0057400493,0.38905695,-0.9212137,0.0,0.0,0.0
1.0,2.0,0.01790559,227.0,132.99902,141.99902,148.0,152.0,165.00098,176.0,196.0,199.0,400.0,896.0,30.969856,0.0057450756,0.38898996,-0.921242,0.0,0.0,0.0
1.0,2.0,0.01836439,213.0,151.00098,157.0,162.00098,162.99902,170.0,176.0,190.0,199.0,400.0,640.0,34.287617,0.005770207,0.38865498,-0.9213834,0.0,0.0,0.0
1.0,2.0,0.01800507,229.0,134.0,146.0,150.0,155.0,164.0,178.0,195.0,209.0,400.0,256.0,31.29344,0.005785286,0.38845393,-0.92146814,0.0,0.0,0.0
1.0,2.0,0.01844752,248.0,138.99902,148.99902,156.99902,161.0,171.0,179.0,194.0,208.00098,400.0,384.0,34.709503,0.005880786,0.38718036,-0.922004,0.0,0.0,0.0
