cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
3.5,0.485493,2574.5781,2449.0698,2526.6104,2534.896,2549.712,2557.4097,2560.0737,2570.7646,2445.3438,160.0,1792.0,466.66547,0.012997563,-0.19095176,-0.98159945,-0.99488074,-0.1010563,0.0,0.0,0.0
3.5,0.66797,8170.339,8041.751,8115.133,8125.363,8147.629,8158.325,8163.364,8166.912,8046.799,170.0,1792.0,476.31973,0.013403737,-0.19209377,-0.9813766,-0.99731445,-0.073238194,0.0,0.0,0.0
3.5,0.849362,2890.9434,2769.4478,2834.991,2850.4019,2871.6355,2877.15,2884.3494,2885.014,2755.991,180.0,1792.0,544.83356,0.013809911,-0.19323553,-0.9811524,-0.99897057,-0.045362987,0.0,0.0,0.0
3.5,0.30452898,2727.0928,2617.6938,2670.061,2680.7983,2703.0928,2708.2075,2721.273,2722.77,2609.0186,190.0,1792.0,556.2204,0.014216084,-0.19437702,-0.9809269,-0.9998477,-0.017452406,0.0,0.0,0.0
3.5,0.541126,7064.634,6937.672,6996.858,7008.453,7037.389,7052.237,7061.292,7061.513,6938.791,200.0,1792.0,565.03503,0.014622258,-0.19551826,-0.9807001,-0.99994516,0.0104717845,0.0,0.0,0.0
3.5,0.516373,12167.047,12029.862,12089.852,12115.42,12132.441,12143.752,12159.604,12163.079,12025.885,210.0,1792.0,575.4716,0.015028432,-0.19665922,-0.9804719,-0.9992629,0.03838781,0.0,0.0,0.0
3.5,0.20611766,17810.307,5345.1904,12112.0,6476.689,11291.456,2085.3599,22765.09,3549.4338,5470.0327,131.14087,2430.9612,715.6531,0.015434606,-0.1977999,-0.98024243,-0.9978015,0.0662739,1.0,1.0,1.0
3.5,0.811179,13032.07,12849.314,12948.928,12950.232,13005.252,13026.431,13028.953,13029.504,12845.027,220.0,1792.0,578.1668,0.01584078,-0.19894034,-0.9800116,-0.99556196,0.09410831,0.0,0.0,0.0
3.5,0.44933298,25019.969,14819.959,21309.723,16414.896,23741.941,9761.203,28076.232,11471.323,14361.258,197.51543,2150.5835,770.9568,0.016246954,-0.2000805,-0.9797795,-0.99254614,0.12186934,1.0,1.0,11.0
3.5,0.49673182,25851.441,16093.724,22464.148,18853.24,22941.102,13508.43,27023.14,15335.228,16781.494,216.26442,2165.1782,745.8062,0.016653128,-0.2012204,-0.979546,-0.98875636,0.14953534,1.0,2.0,10.0
3.4924214,0.54473835,26250.5,17183.406,22561.326,20212.105,22885.445,15322.082,27185.625,17519.094,18504.633,217.69139,2114.7986,738.4974,0.017059302,-0.20236,-0.9793112,-0.9841956,0.17708474,1.0,3.0,9.0
3.496987,0.5451784,26891.402,17795.621,22713.457,20999.857,22471.746,16460.012,27499.215,19036.645,19268.79,216.19394,2014.4327,744.7006,0.017465476,-0.20349935,-0.9790751,-0.9788674,0.20449606,1.0,4.0,8.0
3.4901361,0.5612177,27301.969,18386.568,22915.66,21288.11,22824.107,17878.637,27322.818,20405.518,19970.701,215.72113,1860.2787,755.0013,0.01787165,-0.20463842,-0.9788376,-0.9727759,0.23174791,1.0,5.0,7.0
3.494112,0.5563535,26382.559,17105.285,21917.104,18961.572,21930.135,17350.83,25905.525,18821.057,18599.273,207.2601,1818.4778,762.79724,0.018277822,-0.20577721,-0.9785989,-0.9659258,0.25881904,1.0,6.0,6.0
