time,split,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb
1637379445.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379458.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379471.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379484.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379497.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379510.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379523.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379536.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379549.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379562.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379575.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379588.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379601.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379614.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379627.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379640.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379653.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379666.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379679.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379692.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379705.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379718.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379731.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379744.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379757.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379770.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379783.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379796.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637379809.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
